open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1766692320000000,88123.78000000,88123.78000000,88123.77000000,88123.78000000,0.81802000,1766692379999999,72087.00885630,171,0.25209000,22215.12370020,0
1766692380000000,88123.78000000,88158.83000000,88123.77000000,88158.82000000,2.19828000,1766692439999999,193756.61827730,1076,1.78048000,156926.38308160,0
1766692440000000,88158.83000000,88158.83000000,88158.82000000,88158.82000000,0.32799000,1766692499999999,28915.21278540,246,0.14136000,12462.13220880,0
1766692500000000,88158.83000000,88158.83000000,88158.82000000,88158.82000000,0.23257000,1766692559999999,20503.09752610,216,0.07587000,6688.61043210,0
1766692560000000,88158.83000000,88158.83000000,88158.82000000,88158.83000000,0.77694000,1766692619999999,68494.11990600,179,0.62952000,55497.74666160,0
1766692620000000,88158.83000000,88158.83000000,88151.18000000,88151.19000000,1.70817000,1766692679999999,150584.98390300,713,0.38033000,33526.54649210,0
1766692680000000,88151.19000000,88151.19000000,88151.18000000,88151.19000000,0.65461000,1766692739999999,57704.64765240,140,0.37126000,32727.01079940,0
1766692740000000,88151.19000000,88151.19000000,88151.18000000,88151.18000000,0.24362000,1766692799999999,21475.39216560,98,0.16940000,14932.81158600,0
1766692800000000,88151.19000000,88151.19000000,88151.18000000,88151.19000000,0.34176000,1766692859999999,30126.54923850,169,0.19617000,17292.61894230,0
1766692860000000,88151.19000000,88167.65000000,88151.18000000,88167.65000000,1.62937000,1766692919999999,143635.55922660,741,1.52841000,134735.13281460,0
1766692920000000,88167.65000000,88167.65000000,88134.28000000,88134.28000000,5.90675000,1766692979999999,520629.12950110,1865,1.60742000,141676.97648680,0
1766692980000000,88134.29000000,88134.29000000,88064.00000000,88077.15000000,3.81324000,1766693039999999,335864.84241170,2877,1.65043000,145347.51062930,0
1766693040000000,88077.15000000,88112.52000000,88077.15000000,88093.85000000,1.41425000,1766693099999999,124597.21358020,1509,0.56702000,49954.15167430,0
1766693100000000,88093.85000000,88112.52000000,88093.84000000,88112.51000000,2.03685000,1766693159999999,179436.44599280,577,1.88309000,165891.06570030,0
1766693160000000,88112.51000000,88112.52000000,88104.15000000,88104.16000000,0.54232000,1766693219999999,47782.34047590,485,0.08899000,7840.43714680,0
1766693220000000,88104.15000000,88110.00000000,88104.15000000,88110.00000000,1.53056000,1766693279999999,134849.49194250,479,0.41934000,36946.11788430,0
1766693280000000,88110.00000000,88110.00000000,88109.99000000,88110.00000000,0.21766000,1766693339999999,19178.02145910,218,0.10357000,9125.55270000,0
1766693340000000,88109.99000000,88110.00000000,88109.99000000,88110.00000000,0.32992000,1766693399999999,29069.25040480,194,0.25040000,22062.74400000,0
1766693400000000,88109.99000000,88110.00000000,88109.99000000,88109.99000000,0.64008000,1766693459999999,56397.44414870,246,0.17495000,15414.84450000,0
1766693460000000,88110.00000000,88110.00000000,88109.99000000,88109.99000000,0.39355000,1766693519999999,34675.68886660,137,0.23021000,20283.80310000,0
1766693520000000,88110.00000000,88110.00000000,88109.99000000,88109.99000000,2.02942000,1766693579999999,178812.19420250,385,1.82967000,161212.22370000,0
1766693580000000,88110.00000000,88120.00000000,88110.00000000,88119.99000000,3.69615000,1766693639999999,325702.34239640,471,0.77527000,68314.50734260,0
1766693640000000,88119.99000000,88119.99000000,88114.57000000,88114.57000000,0.26938000,1766693699999999,23736.52169740,388,0.04333000,3818.00475140,0
1766693700000000,88114.58000000,88114.58000000,88114.57000000,88114.57000000,0.32100000,1766693759999999,28284.77879830,136,0.18283000,16109.98866140,0
1766693760000000,88114.58000000,88135.43000000,88114.57000000,88135.43000000,1.08606000,1766693819999999,95710.48001730,572,1.04180000,91810.09381970,0
1766693820000000,88135.43000000,88135.43000000,88112.45000000,88112.45000000,0.58557000,1766693879999999,51606.17740370,1036,0.13321000,11739.08505650,0
1766693880000000,88112.46000000,88112.46000000,88058.00000000,88058.00000000,4.67331000,1766693939999999,411706.72926900,1776,0.08620000,7595.23618120,0
1766693940000000,88058.01000000,88058.01000000,88058.00000000,88058.00000000,0.36451000,1766693999999999,32098.02264610,119,0.10661000,9387.86444610,0
1766694000000000,88058.01000000,88058.01000000,88058.00000000,88058.00000000,0.42575000,1766694059999999,37490.69677050,252,0.32705000,28799.37217050,0
1766694060000000,88058.00000000,88068.00000000,88058.00000000,88060.91000000,3.40931000,1766694119999999,300242.01490100,635,0.82777000,72892.98156830,0
1766694120000000,88060.90000000,88060.91000000,88012.62000000,88024.01000000,3.68494000,1766694179999999,324399.83098650,2161,0.53426000,47023.94981220,0
1766694180000000,88024.01000000,88028.00000000,88024.00000000,88027.99000000,1.22685000,1766694239999999,107996.41591030,318,0.17516000,15418.35470760,0
1766694240000000,88028.00000000,88028.00000000,88027.99000000,88027.99000000,0.69096000,1766694299999999,60823.82557360,165,0.56032000,49323.84896000,0
1766694300000000,88028.00000000,88028.00000000,87979.35000000,87979.35000000,2.56287000,1766694359999999,225538.51295620,2101,0.08862000,7799.72335990,0
1766694360000000,87979.36000000,87979.36000000,87797.16000000,87883.62000000,57.57443000,1766694419999999,5058766.79363630,10528,16.67233000,1464682.54156050,0
1766694420000000,87883.61000000,87901.00000000,87872.68000000,87872.68000000,6.27763000,1766694479999999,551742.45145660,1377,3.34573000,294040.33275350,0
1766694480000000,87872.69000000,87887.13000000,87722.69000000,87741.72000000,31.39479000,1766694539999999,2756503.87815140,6891,6.50538000,571261.17097310,0
1766694540000000,87741.72000000,87770.46000000,87650.00000000,87770.45000000,20.39480000,1766694599999999,1788753.71140840,6509,7.65978000,671902.68123020,0
1766694600000000,87770.45000000,87770.46000000,87702.00000000,87713.81000000,8.30534000,1766694659999999,728653.65719240,4388,2.61502000,229411.27864650,0
1766694660000000,87713.81000000,87770.46000000,87713.81000000,87754.14000000,4.03106000,1766694719999999,353748.92964820,2201,1.51733000,133138.93159960,0
1766694720000000,87754.14000000,87823.78000000,87754.13000000,87819.99000000,5.71513000,1766694779999999,501766.57636190,3608,3.58441000,314699.41835370,0
1766694780000000,87820.00000000,87820.00000000,87732.00000000,87749.60000000,5.79866000,1766694839999999,508920.49962330,4817,1.24362000,109120.42460400,0
1766694840000000,87749.59000000,87806.87000000,87749.59000000,87806.86000000,4.95384000,1766694899999999,434847.08483730,1750,3.67463000,322544.08982130,0
1766694900000000,87806.87000000,87837.21000000,87770.45000000,87773.23000000,15.77323000,1766694959999999,1384991.70406880,2401,8.59115000,754330.95481310,0
1766694960000000,87773.23000000,87787.34000000,87760.75000000,87760.75000000,2.33427000,1766695019999999,204901.98924270,1571,0.60084000,52740.05512430,0
1766695020000000,87760.75000000,87813.55000000,87760.75000000,87792.68000000,5.35832000,1766695079999999,470398.98062970,2041,2.05713000,180554.35030220,0
1766695080000000,87792.69000000,87792.69000000,87792.68000000,87792.69000000,0.26369000,1766695139999999,23150.05378810,221,0.19989000,17548.88080410,0
1766695140000000,87792.69000000,87819.34000000,87792.68000000,87819.34000000,3.41179000,1766695199999999,299545.14229420,1104,3.15282000,276806.71486110,0
1766695200000000,87819.34000000,87819.34000000,87803.87000000,87817.58000000,3.10872000,1766695259999999,272993.95420500,1828,1.23418000,108378.67554420,0
1766695260000000,87817.58000000,87817.58000000,87803.21000000,87803.22000000,1.29421000,1766695319999999,113646.89455210,603,0.16428000,14425.02793820,0
1766695320000000,87803.22000000,87820.00000000,87803.21000000,87819.99000000,3.83779000,1766695379999999,336980.89969750,942,3.74335000,328687.96414790,0
1766695380000000,87820.00000000,87820.00000000,87808.80000000,87808.81000000,0.78794000,1766695439999999,69191.98983200,782,0.11149000,9790.39442020,0
1766695440000000,87808.80000000,87808.81000000,87793.32000000,87804.07000000,3.28156000,1766695499999999,288135.51729460,1119,2.42019000,212500.56346320,0
1766695500000000,87804.07000000,87817.82000000,87804.07000000,87817.82000000,1.23923000,1766695559999999,108812.83352800,527,1.19333000,104782.04739220,0
1766695560000000,87817.81000000,87884.50000000,87817.81000000,87884.50000000,8.17653000,1766695619999999,718262.58890330,3089,7.85642000,690148.75531120,0
1766695620000000,87884.50000000,87884.50000000,87869.39000000,87869.39000000,1.61993000,1766695679999999,142352.69437900,645,0.15222000,13376.12877260,0
1766695680000000,87869.40000000,87876.27000000,87869.39000000,87876.27000000,2.60968000,1766695739999999,229315.25198080,475,2.42470000,213060.06147700,0
1766695740000000,87876.27000000,87876.27000000,87860.20000000,87860.21000000,5.40823000,1766695799999999,475215.57968380,1092,2.71636000,238680.20070300,0
1766695800000000,87860.21000000,87871.16000000,87860.20000000,87861.46000000,5.80236000,1766695859999999,509807.30275920,1032,2.95821000,259910.79256660,0
1766695860000000,87861.46000000,87870.98000000,87861.46000000,87870.97000000,1.42503000,1766695919999999,125208.12988550,555,1.26640000,111269.15791440,0
1766695920000000,87870.98000000,87885.79000000,87870.97000000,87881.98000000,1.56715000,1766695979999999,137714.18920080,1031,1.28967000,113328.12505270,0
1766695980000000,87881.98000000,87881.99000000,87870.47000000,87874.22000000,4.36631000,1766696039999999,383673.86931770,800,3.64079000,319919.49757740,0
1766696040000000,87874.22000000,87874.22000000,87872.68000000,87872.69000000,3.44483000,1766696099999999,302706.58372220,289,2.33397000,205092.22341150,0
1766696100000000,87872.69000000,87872.69000000,87865.80000000,87872.69000000,2.76488000,1766696159999999,242952.96147370,666,0.26178000,23002.38405280,0
1766696160000000,87872.68000000,87872.69000000,87872.68000000,87872.68000000,1.67270000,1766696219999999,146984.63297460,208,0.11386000,10005.18448340,0
1766696220000000,87872.68000000,87872.68000000,87861.36000000,87861.36000000,0.99203000,1766696279999999,87165.64725660,530,0.05835000,5126.73777150,0
1766696280000000,87861.36000000,87900.00000000,87852.58000000,87899.99000000,17.16104000,1766696339999999,1507970.28318790,1683,16.51968000,1451620.09341300,0
1766696340000000,87900.00000000,87900.00000000,87892.68000000,87892.69000000,1.64102000,1766696399999999,144243.95367360,576,0.12459000,10951.10905690,0
1766696400000000,87892.69000000,87892.69000000,87874.54000000,87874.54000000,0.78062000,1766696459999999,68607.08656130,832,0.17155000,15076.92793550,0
1766696460000000,87874.54000000,87874.55000000,87874.54000000,87874.55000000,0.68119000,1766696519999999,59859.25957200,139,0.16694000,14669.77737700,0
1766696520000000,87874.54000000,87883.24000000,87868.38000000,87883.24000000,5.21360000,1766696579999999,458115.11610440,966,4.60698000,404809.85907110,0
1766696580000000,87883.23000000,87900.65000000,87853.86000000,87853.87000000,7.67045000,1766696639999999,674130.17258730,1419,0.90332000,79393.88131680,0
1766696640000000,87853.87000000,87888.35000000,87853.86000000,87885.17000000,5.00490000,1766696699999999,439800.12331920,1789,4.04803000,355711.16452920,0
1766696700000000,87885.16000000,87907.00000000,87860.77000000,87860.77000000,8.60376000,1766696759999999,756186.86412280,1773,1.39308000,122446.15773560,0
1766696760000000,87860.77000000,87860.78000000,87820.00000000,87820.00000000,4.53087000,1766696819999999,397961.15499590,2142,0.35168000,30890.44487590,0
1766696820000000,87820.01000000,87839.00000000,87820.00000000,87839.00000000,1.67015000,1766696879999999,146683.71649920,790,1.42159000,124850.46733580,0
1766696880000000,87839.00000000,87857.35000000,87838.99000000,87850.57000000,3.96280000,1766696939999999,348119.57512410,1351,3.57415000,313976.01543440,0
1766696940000000,87850.58000000,87916.00000000,87850.58000000,87916.00000000,2.26352000,1766696999999999,198935.53613650,2961,1.88240000,165439.20788290,0
1766697000000000,87916.00000000,87974.64000000,87915.99000000,87974.64000000,9.24688000,1766697059999999,813227.93984550,2456,7.68196000,675582.31667980,0
1766697060000000,87974.64000000,87974.64000000,87965.84000000,87965.85000000,1.92394000,1766697119999999,169249.98499860,373,0.39053000,34354.64563350,0
1766697120000000,87965.84000000,87974.92000000,87965.84000000,87970.00000000,4.49167000,1766697179999999,395140.56403130,659,3.23014000,284158.54929340,0
1766697180000000,87970.01000000,87974.92000000,87970.00000000,87974.91000000,1.27284000,1766697239999999,111977.17262730,207,1.15485000,101597.01623700,0
1766697240000000,87974.92000000,87982.00000000,87974.91000000,87982.00000000,1.99101000,1766697299999999,175160.68062450,468,1.81212000,159422.34763980,0
1766697300000000,87982.00000000,87982.00000000,87936.45000000,87976.83000000,2.41085000,1766697359999999,212069.93684940,2335,1.09684000,96472.15402130,0
1766697360000000,87976.83000000,87982.98000000,87927.95000000,87927.95000000,6.58228000,1766697419999999,579041.59804770,1625,1.38361000,121722.35975620,0
1766697420000000,87927.95000000,87943.02000000,87927.95000000,87943.01000000,1.63525000,1766697479999999,143792.66930920,537,1.24486000,109462.11619990,0
1766697480000000,87943.02000000,87943.02000000,87929.50000000,87929.50000000,1.18848000,1766697539999999,104514.02452200,817,0.34505000,30343.41061270,0
1766697540000000,87929.50000000,87943.32000000,87929.50000000,87943.32000000,2.48624000,1766697599999999,218618.77617020,623,2.09663000,184359.76062370,0
1766697600000000,87943.31000000,87968.80000000,87943.31000000,87946.70000000,1.62519000,1766697659999999,142951.85201270,1920,0.84085000,73958.30783140,0
1766697660000000,87946.70000000,87950.72000000,87946.69000000,87950.71000000,1.56266000,1766697719999999,137431.83081970,609,1.32624000,116638.90750430,0
1766697720000000,87950.71000000,87950.72000000,87931.43000000,87943.75000000,4.28324000,1766697779999999,376687.68303870,1558,1.37109000,120564.46958380,0
1766697780000000,87943.75000000,87943.76000000,87943.75000000,87943.76000000,0.57467000,1766697839999999,50538.63701770,121,0.22052000,19393.35795520,0
1766697840000000,87943.76000000,87961.30000000,87943.75000000,87961.30000000,2.92315000,1766697899999999,257073.94862690,855,2.33230000,205112.34404700,0
1766697900000000,87961.30000000,87965.26000000,87961.29000000,87965.26000000,0.44882000,1766697959999999,39480.42358460,212,0.28296000,24890.50959560,0
1766697960000000,87965.26000000,87965.26000000,87958.20000000,87958.20000000,1.21810000,1766698019999999,107150.20486090,475,0.29965000,26358.77739850,0
1766698020000000,87958.21000000,87958.21000000,87949.48000000,87949.48000000,0.43322000,1766698079999999,38104.27894180,411,0.09233000,8121.04784000,0
1766698080000000,87949.48000000,87949.49000000,87949.48000000,87949.49000000,1.39346000,1766698139999999,122554.09327140,298,1.08706000,95606.37259940,0
1766698140000000,87949.48000000,87958.20000000,87949.48000000,87958.19000000,0.68465000,1766698199999999,60218.20666340,490,0.53559000,47107.38096700,0
1766698200000000,87958.19000000,87958.20000000,87958.19000000,87958.20000000,0.49328000,1766698259999999,43388.01847590,247,0.25127000,22101.25691400,0
1766698260000000,87958.20000000,87959.09000000,87945.34000000,87945.34000000,3.96518000,1766698319999999,348767.27436710,579,3.31663000,291724.61076380,0
